"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84"
"dia",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
"positius_7d",1171,1171,1202,1221,1306,1344,1325,1394,1403,1345,1296,1192,1131,1137,1060,918,850,816,785,777,730,725,761,739,733,670,599,575,555,528,519,473,505,480,489,506,515,543,520,562,653,674,696,779,841,1031,1109,1196,1266,1320,1477,1714,1955,2240,2530,2659,2740,3102,3365,3685,4071,4449,4714,4892,5390,5853,6135,6367,6492,6423,6388,6391,6414,6437,6371,6436,6433,6408,6238,6059,5864,5676,5482,5402
"pcrs_7d",48868,50851,53306,54366,56011,57994,58038,58945,58164,56989,55690,54434,53870,53472,52592,48810,46480,46514,45174,44829,43106,41995,44071,44802,44006,42707,41462,40412,39838,39314,38875,37805,37160,35490,35373,35372,34246,34003,29958,28410,29443,29547,29729,30371,30350,34228,35500,34947,34616,34620,34578,35301,36330,37714,39083,40116,41049,42603,43394,45588,48209,51088,53432,54426,57486,62051,65950,70073,73637,74758,75927,76791,78002,80250,79335,79358,79558,78664,78657,78736,73594,70111,66228,65563
"ingressos_7d",383,356,342,324,325,301,300,310,301,283,266,241,242,238,226,218,221,228,216,226,229,222,226,214,204,200,178,168,168,156,154,164,169,162,165,159,178,183,167,168,176,187,191,187,176,186,180,205,197,205,208,233,255,271,266,285,282,296,328,322,354,374,386,426,458,471,494,529,583,597,628,621,612,625,586,542,540,497,483,459,442,445,420,403
"novas_uci_7d",39,43,36,33,35,35,33,31,31,37,35,32,31,35,38,31,25,23,25,22,24,24,27,27,30,29,31,25,23,20,20,21,20,17,17,15,25,26,23,20,24,27,27,15,14,15,17,13,13,17,20,22,29,33,38,37,36,44,45,47,49,60,61,68,68,90,96,101,102,111,116,120,107,97,93,91,88,82,75,71,74,79,76,74
"ingressats_media",1190.42857142857,1131.14285714286,1076.57142857143,1027.42857142857,990,946.142857142857,906.571428571429,868.428571428571,831.857142857143,799.571428571429,766.285714285714,732.428571428571,708.142857142857,682.142857142857,655.571428571429,635.571428571429,614.428571428571,594.142857142857,572.428571428571,549.714285714286,530,510.142857142857,483.428571428571,460.428571428571,442,425.857142857143,411.571428571429,394.857142857143,378.571428571429,363,349,331.714285714286,321.285714285714,309.142857142857,299.714285714286,290.857142857143,283,273.285714285714,268.428571428571,260.571428571429,257.714285714286,254.857142857143,254.428571428571,251.857142857143,251.857142857143,251.142857142857,248.571428571429,244.857142857143,241.571428571429,237.571428571429,236,232.428571428571,231.714285714286,235.428571428571,241,246.571428571429,251.714285714286,260.714285714286,272.857142857143,283.857142857143,295.714285714286,309.142857142857,324.714285714286,341.285714285714,351.714285714286,365.571428571429,376.571428571429,390.285714285714,404,418.285714285714,433.285714285714,450.714285714286,467,484.857142857143,498.571428571429,510.285714285714,522.285714285714,534.714285714286,551.142857142857,562.857142857143,567.285714285714,572,572.285714285714,569.142857142857
"critics_media",237.285714285714,225.285714285714,214.571428571429,204.857142857143,196.285714285714,187.285714285714,178.428571428571,170.714285714286,162.857142857143,159.142857142857,155.142857142857,151,146,141.285714285714,137.428571428571,134.714285714286,129.571428571429,124.285714285714,119,115.285714285714,112.285714285714,109.285714285714,103.857142857143,97.8571428571429,94.1428571428571,90.8571428571429,87.8571428571429,83.4285714285714,78.4285714285714,74.7142857142857,72.2857142857143,69.1428571428571,66.2857142857143,62.5714285714286,59.7142857142857,56.7142857142857,54,51.4285714285714,49,47.2857142857143,46.7142857142857,46.2857142857143,45.7142857142857,45.2857142857143,44.1428571428571,43.2857142857143,42.2857142857143,40.8571428571429,39.4285714285714,38.1428571428571,37.1428571428571,36.4285714285714,35.7142857142857,35.2857142857143,35.4285714285714,35.4285714285714,35.8571428571429,36.8571428571429,38,40,42.1428571428571,44.5714285714286,46.8571428571429,50.1428571428571,52.1428571428571,54.5714285714286,57.4285714285714,60.8571428571429,64.8571428571429,69.5714285714286,72.8571428571429,78,83.4285714285714,86.5714285714286,88.8571428571429,90.5714285714286,91.2857142857143,93,93.8571428571429,95,97,98.1428571428571,98.7142857142857,100.142857142857
"exitus_7d",255,214,204,200,200,181,183,176,180,167,153,141,138,119,118,108,100,100,93,82,81,72,78,71,60,58,54,50,50,47,48,46,43,43,44,38,32,31,28,28,28,23,21,17,21,25,24,25,27,26,26,25,24,23,20,20,24,24,21,20,20,21,20,20,28,34,37,40,43,52,58,60,61,63,73,77,75,72,67,69,67,59,52,45
