wave,self_age_group,contact_age_group,contacts_mean,EPA_coresidents_mean,survey_coresidents_mean,total_contacts_mean
1,0,0,0.244377587716725,0.6462691998359906,0.313147598315863,0.8906467875527156
2,0,0,0.264112693071461,0.6533705414354806,0.243019444274719,0.9174832345069416
3,0,0,0.352650142782842,0.6533705414354806,0.385548344790841,1.0060206842183226
1,0,10,0.27407525878937,0.191040525252688,0.409976246058448,0.465115784042058
2,0,10,0.247554393645219,0.19324532622693652,0.353154478789924,0.4407997198721555
3,0,10,0.358689451599386,0.19324532622693652,0.454607512608716,0.5519347778263225
1,0,20,0.543466165698264,0.2078061967901947,0.54653675725569,0.7512723624884587
2,0,20,0.56933118680441,0.20732982876179595,0.415460267848126,0.7766610155662059
3,0,20,0.682993371970743,0.20732982876179595,0.470867138995797,0.8903232007325389
1,0,30,0.700815066668514,1.107385082033708,0.376330483975373,1.808200148702222
2,0,30,0.744746826168179,1.1125673844977653,0.213859688243617,1.8573142106659444
3,0,30,0.939688599546045,1.1125673844977653,0.303714037156624,2.05225598404381
1,0,40,0.83527889086049,0.6270687778527048,0.449004266798465,1.4623476687131949
2,0,40,0.861233396646848,0.6350184245238332,0.311911890473608,1.4962518211706812
3,0,40,1.02387312933066,0.6350184245238332,0.300646430469066,1.658891553854493
1,0,50,0.765511734419628,0.09623465701661815,0.662028216420284,0.8617463914362462
2,0,50,0.776010743192155,0.09182435080532736,0.475131637189851,0.8678350939974824
3,0,50,1.09601060743142,0.09182435080532736,0.540510987404548,1.1878349582367473
1,0,60,0.757410784888846,0.10472405019873923,0.6400657811061634,0.8621348350875851
2,0,60,0.7988825160992019,0.11474899478249052,0.5368283610528732,0.9136315108816925
3,0,60,0.9176992022639789,0.11474899478249052,0.5205807205366284,1.0324481970464694
1,5,0,0.246165896803615,0.5819849539695326,0.29987143387913,0.8281508507731477
2,5,0,0.261047096042949,0.5726322871149346,0.242744916048663,0.8336793831578837
3,5,0,0.346315810597996,0.5726322871149346,0.370570025166728,0.9189480977129306
1,5,10,0.281024884440984,0.4254298851978854,0.403794261359644,0.7064547696388694
2,5,10,0.252425153198235,0.41569036592071684,0.349786589745046,0.6681155191189518
3,5,10,0.35760128199261,0.41569036592071684,0.445346617444108,0.7732916479133268
1,5,20,0.536006533984534,0.09083279485490103,0.55057247244938,0.626839328839435
2,5,20,0.577591231757185,0.0924862389131949,0.422305358587009,0.6700774706703798
3,5,20,0.684087132309093,0.0924862389131949,0.474896408719811,0.7765733712222879
1,5,30,0.707041266077878,0.6259475157220328,0.367392800003847,1.3329887817999109
2,5,30,0.736365168461486,0.6378969878880162,0.217727501385472,1.374262156349502
3,5,30,0.940638524099977,0.6378969878880162,0.301245001646016,1.5785355119879931
1,5,40,0.85519444913879,1.1005128117681822,0.453197159439369,1.9557072609069721
2,5,40,0.8530282708619,1.081281444173544,0.314072627971211,1.934309715035444
3,5,40,1.00698637785484,1.081281444173544,0.289998571948899,2.088267822028384
1,5,50,0.771368196372112,0.13599620975157595,0.665004228135861,0.90736440612368785
2,5,50,0.775757470607068,0.14398746719491815,0.474383043646339,0.9197449378019862
3,5,50,1.09833486073341,0.14398746719491815,0.538855408785313,1.2423223279283282
1,5,60,0.7528156623340839,0.09366317108091263,0.6373344280427892,0.8464788334149965
2,5,60,0.7940755317238011,0.09248753901469164,0.5280557637388559,0.8865630707384927
3,5,60,0.9121616230264471,0.09248753901469164,0.5266635368603724,1.0046491620411389
1,10,0,0.24519125679485,0.35255693797655757,0.310204248698213,0.5977481947714076
2,10,0,0.263370699352405,0.3431670158689566,0.24725079205126901,0.6065377152213616
3,10,0,0.351017313564123,0.3431670158689566,0.39193525337814,0.6941843294330796
1,10,10,0.275347065336477,0.62126828065999,0.415759542598913,0.896615345996467
2,10,10,0.253873667167313,0.618678128247668,0.348417060594839,0.8725517954149811
3,10,10,0.356266321047687,0.618678128247668,0.451926210498321,0.974944449295355
1,10,20,0.542673372313201,0.1413781533366737,0.54683204628386906,0.6840515256498747
2,10,20,0.561928011644024,0.1409579404148585,0.424697700047608,0.7028859520588825
3,10,20,0.679033425875594,0.1409579404148585,0.462414003356155,0.8199913662904526
1,10,30,0.703487967944249,0.24515637143958752,0.368876989151818,0.9486443393838364
2,10,30,0.735419867755235,0.2430172985625271,0.214249576549698,0.9784371663177621
3,10,30,0.92986666160968,0.2430172985625271,0.30294243386213,1.1728839601722072
1,10,40,0.841510567837526,1.1452607751254977,0.451373711844327,1.9867713429630238
2,10,40,0.84921681981421,1.1332195782659802,0.313842091147194,1.9824363980801902
3,10,40,1.01008913281591,1.1332195782659802,0.292645884491857,2.1433087110818905
1,10,50,0.771431990956425,0.4460801945120207,0.672230884312864,1.2175121854684456
2,10,50,0.780640042238851,0.4522456024291071,0.484047985021503,1.2328856446679581
3,10,50,1.11437906623649,0.4522456024291071,0.551120382626352,1.5666246686655971
1,10,60,0.761229605705828,0.10009697446967031,0.6438302253117236,0.8613265801754983
2,10,60,0.80017849889861,0.1009144081305588,0.5286694250709423,0.9010929070291689
3,10,60,0.90616923700232,0.1009144081305588,0.5196502042844036,1.0070836451328788
1,16,0,0.247230824925782,0.14427101817569216,0.321414028190521,0.3915018431014742
2,16,0,0.279940320513278,0.13594338759040525,0.25114045746266,0.41588370810368325
3,16,0,0.35386305592494,0.13594338759040525,0.376895563619769,0.48980644351534525
1,16,10,0.279701964345362,0.5697494444674333,0.429543601021353,0.8494514088127952
2,16,10,0.273316934302563,0.5785435467340574,0.358357931669843,0.8518604810366204
