wave,self_age_group,contact_age_group,contacts_mean,EPA_coresidents_mean,survey_coresidents_mean,total_contacts_mean
1,0-15,0-15,0.451857788319449,0.8148052493482681,0.63589682432802,1.2666630376677173
1,0-15,16-64,3.09901304935021,2.149825180651098,2.32665031899481,5.248838230001308
1,0-15,65+,0.468909333549544,0.068695991929646,0.359240232589074,0.53760532547919
1,16-64,0-15,0.535172930805002,0.5208275977727654,0.645328676631301,1.0560005285777674
1,16-64,16-64,2.93664279000827,1.529550443081329,1.60532768593795,4.466193233089599
1,16-64,65+,0.316747656029621,0.15469125700048159,0.147681653446148,0.4714389130301026
1,65+,0-15,0.141168209733279,0.05272202302287453,0.108969153846188,0.19389023275615352
1,65+,16-64,1.75311327458906,0.5283353725097751,1.1662984374129,2.281448647098835
1,65+,65+,0.849828208126585,0.5794132986103218,0.660687820542937,1.4292415067369069
2,0-15,16-64,3.18492613874216,2.151481538368099,1.64787943767904,5.336407677110259
2,0-15,65+,0.497411575527379,0.07128294065568509,0.293403488860689,0.5686945161830641
2,0-15,0-15,0.4632245799517,0.8042906391164054,0.542874990588143,1.2675152190681054
2,16-64,16-64,3.80923237769402,1.5350857938841482,1.36485348926908,5.344318171578168
2,16-64,65+,0.495596104113092,0.15454647909749822,0.146013529274478,0.6501425832105903
2,16-64,0-15,0.632295893648705,0.5199735238240433,0.564996165054032,1.1522694174727484
2,65+,16-64,2.59264987420811,0.5263469813416299,0.820565388819047,3.11899685554974
2,65+,65+,0.774644361435092,0.5817700253942031,0.655699307218201,1.356414386829295
2,65+,0-15,0.338075013596557,0.05265666447606321,0.218274369687793,0.3907316780726202
3,0-15,16-64,4.08712552838336,2.151481538368099,1.84509223362303,6.238607066751459
3,0-15,65+,0.537446154643419,0.07128294065568509,0.2880684723262,0.6087290952991041
3,0-15,0-15,0.630566551453151,0.8042906391164054,0.764750994921699,1.4348571905695564
3,16-64,16-64,4.60469536153998,1.5350857938841482,1.39781024361051,6.139781155424128
3,16-64,65+,0.461220785498346,0.15454647909749822,0.129948374613325,0.6157672645958442
3,16-64,0-15,0.861826854477954,0.5199735238240433,0.627961048484686,1.3818003783019974
3,65+,16-64,3.40618318159614,0.5263469813416299,0.696867197065478,3.93253016293777
3,65+,65+,1.16520703584572,0.5817700253942031,0.317163802530262,1.7469770612399231
3,65+,0-15,0.460416255922198,0.05265666447606321,0.216083973883474,0.5130729203982611
